subject,year,question_text,option_a,option_b,option_c,option_d,correct_option
Literature,1997,"This question is based on Wole Soyinka's The Trials of Brother Jero. JERO: In that case, since, Brother Chume, your wife seems such a wicked, willful sinner, I think .... CHUME: Yes, Holy One...? JERO: You must take her home tonight... Jero concedes to Chume taking his wife home and beating her in order to",keep his secret secret,get the beating out of the way quickly,enable jero get into his house,keep Chume's loyalty,A
Literature,1997,This question is based on Wole Soyinka's The Trials of Brother Jero. CHUME: Who said you were? Does the prophet live here? SAME MAN: Yes. Over there. That house CHUME: So...so..so...s... Chume's reaction in the exchange above reflects,disappointment,rumination,contemplation,awareness,D
Literature,1997,This question is based on Wole Soyinka's The Trials of Brother Jero. Jero's opening speech in the is a,soliloquy,monologue,narrative,confession,B
Literature,1997,This question is based on Wole Soyinka's The Trials of Brother Jero. The most sensitive of Jero's disciples is,the Faithful Penitent,Brother Chume,the Old Couple,the woman with the exposed thigh,A
Literature,1997,This question is based on Oliver Goldsmith's She Stoops To Conquer. One of the enriching factors of the comedy is the,lopsided resolution of conflicts,manipulation of appearance and reality,contrived misrepresentation of characters,match making attempts by Mrs. Hardcastle,B
Literature,1997,This question is based on Oliver Goldsmith's She Stoops To Conquer. The comic in the play is found in the,Miss Hardcastle-Marlow main plot,Miss Hardcastle Marlow main plot two sub-plots,Miss Hardcastle-Marlow main plot and Hasting-Neville sub-plot,Miss Hardcastle-Marlow and Hasting-Neville series of sub-plots,C
Literature,1997,This question is based on Oliver Goldsmith's She Stoops To Conquer. Mr. Hardcastle asks Young Marlow to leave his house because,Marlow is not fit to be Kate's husband,Young Marlow is more demanding than Hasting,he is fed up with Marlow annoying behaviour,Kate objects to being betrothed in absentia,C
Literature,1997,This question is based on Oliver Goldsmith's She Stoops To Conquer. '...My son is not to live by his learning. I don't think a boy wants much learning to spend fifteen hundred a year.' What provokes this response from the speaker is the accusation that,Tony is in reality without a fortune,Tony is not a man of consequence,Marlow is too bashful and reserved,Tony has not had a good breeding,D
Literature,1997,"This question is based on Oliver Goldsmith's She Stoops To Conquer. Mrs. Hard: ..Anybody that looks in his face may see he's consumptive. Hard: Ay, if growing too fat be one of the symptoms. Mrs. Hard: He coughs sometimes, Hard: Yes, when his liquor goes the wrong way Mrs. Hard: I'm actually afraid of his lungs. Hard: And truly so am I;... What takes place immediately after this brief exchange?",Mr. and Mrs. Hardcastle exit,Tony walks across the stage,There is a knocking at the door,Kate enters begging for calm,A
Literature,1997,"This question is based on selected poems from D. Ker, C. Maduka et al (eds.): New poetry from Africa, Wole Soyinka (ed.): Poems of Black Africa, K.E. Senanu and T. Vincent (eds.): A Selection of African poetry and E.W. Parker (ed.): A Pageant of Longer Poems. What is the dominant poetic device used in Christopher Okigbo's 'Hurrah for Thunder?",Irony,Symbolism,Parallelism,Rhythm,B
Literature,1997,"This question is based on selected poems from D. Ker, C. Maduka et al (eds.): New poetry from Africa, Wole Soyinka (ed.): Poems of Black Africa, K.E. Senanu and T. Vincent (eds.): A Selection of African poetry and E.W. Parker (ed.): A Pageant of Longer Poems. The tone of 'They Too are the Earth' by Osundara is",militant,hilarious,harsh,assertive,C
